seed,sample,ranking_score
1414231644,0,0.6703856019154173
1414231644,1,0.7086677737297589
1414231644,2,0.6765252047414374
1414231644,3,0.6940443401991183
1414231644,4,0.7371855989775342
1315584723,0,0.6752661266013041
1315584723,1,0.678761577368387
1315584723,2,0.7140626238567612
1315584723,3,0.7603130418919919
1315584723,4,0.6910324651888258
710338087,0,0.669262607299003
710338087,1,0.7040573211460364
710338087,2,0.7232567198877793
710338087,3,0.7748637186903187
710338087,4,0.6864843555289368
281973202,0,0.7408463640637268
281973202,1,0.685932003135644
281973202,2,0.7852190072713526
281973202,3,0.7003399867677351
281973202,4,0.6513217850092528
3752802786,0,0.7278030288187871
3752802786,1,0.693473031873137
3752802786,2,0.6905308670291492
3752802786,3,0.7000020068384861
3752802786,4,0.7113788752528252
